"","Species","Description","Cultivar","Trait","data"
"250","Peltophorum pterocarpum","This upright, handsome, spreading, semievergreen tree has a rounded canopy and is capable of reaching 50 feet in height with a 35 to 50-foot spread.  Form can be quite variable from tree to tree, unfortunately, eliminating this plant from the palette of many architects.  With proper training and pruning in the nursery and in the landscape, a more uniform crown will develop.  The dark green, delicate, feathery leaflets provide a softening effect for the tree's large size and create a welcoming, dappled shade.  From May through September, the entire tree's canopy is smothered with a yellow blanket of flowers, appearing in showy, terminal panicles and exuding a delicious, grape-like perfume.  These flower clusters are followed by four-inch-long seed pods which ripen to a brilliant, dark, wine-red.",NA,"Leaf arrangement","alternate"
"251","Pyrus calleryana","`Aristocrat' Callery Pear quickly grows 35 to 45 feet high and 30 to 35 feet wide, with widely-spaced, upright-spreading, thornless branches.  The more dominant trunk and open form of `Aristocrat' Callery Pear helps to make it less susceptible to wind and ice damage than `Bradford'.  Branch angles are wider and lateral branches grow at a slower rate than on `Bradford', therefore the branches are better attached to the trunk.  In spring before the new leaves unfold, the tree puts on a brilliant display of pure white flowers which, unfortunately, do not have a pleasant fragrance.  The leaves emerge as red/purple, then become 1.5 to 3 inches long, glossy green with wavy margins and a red blush.  They turn red again in fall before dropping.  The small, pea-sized, red/brown fruits which form are quite attractive to birds and other wildlife, and mummify on the tree persisting for several months to a year.  Planting two or more cultivars of Callery Pear together could increase fruit set.","Aristocrat","Leaf arrangement","alternate"
"252","Ginkgo biloba","Ginkgo is practically pest-free, resistant to storm damage, and casts light to moderate shade.  Young trees are often very open but they fill in to form a denser canopy.  It makes a durable street tree where there is enough overhead space to accommodate the large size.  The shape is often irregular with a large branch or two seemingly forming its own tree on the trunk.  But this does not detract from its usefulness as a city tree unless the tree will be growing in a restricted overhead space.  If this is the case, select from the narrow upright cultivars such as `Princeton Sentry' and `Fairmont'.  Ginkgo tolerates most soil, including compacted, and alkaline, and grows slowly to 75 feet or more tall.  The tree is easily transplanted and has a vivid yellow fall color which is second to none in brilliance, even in the south.  However, leaves fall quickly and the fall color show is short.",NA,"Leaf arrangement","alternate"
"253","Ginkgo biloba","This male cultivar of Ginkgo is practically pest-free, resistant to storm damage, and casts dense shade.  The tree grows to at least 50 feet tall but the original tree in Fairmont Park, Philadelphia has a spread of only about 15 to 18 feet and resembles a fat, billowy column or oval.  The dense crown makes it suitable as a screen or noise buffer.  It makes a durable street tree where there is enough overhead vertical space to accommodate the large size.  It has good usefulness as a city tree especially where there is narrow overhead space.  There are other cultivars with narrow upright crowns including `Princeton Sentry' and `Fastigiata'.  Ginkgo tolerates most soil, including compacted, and alkaline.  The tree is easily transplanted and has a vivid yellow fall color which is second to none in brilliance, even in the south.  However, leaves fall quickly and the fall color show is short.  Unlike the species, the tree does not set fruit.","Fairmont","Leaf arrangement","alternate"
"254","Ginkgo biloba","This male cultivar of Ginkgo is practically pest-free, resistant to storm damage, and casts dense shade.  It makes a durable street tree especially where overhead vertical space limits selection of wide trees.  The shape is a symmetrical pyramid growing about 50 feet tall and 20 to 25 feet wide, which is quite unlike the open spreading habit of the species.  There are other narrow, upright cultivars such as `Princeton Sentry' and `Fairmont'.  Ginkgo tolerates most soil, including compacted, and alkaline.  The tree is easily transplanted and has a vivid yellow fall color which is second to none in brilliance, even in the south.  However, leaves fall quickly and the fall color show is short.  Unlike the species, the tree does not set fruit.","Lakeview","Leaf arrangement","alternate"
"255","Acer pseudoplatanus","This large deciduous tree is normally seen at 40 to 60 feet in height although sycamore maple is capable of reaching over 100 feet in height. The spreading branches form an oval or rounded canopy and the dark green, three-to seven-inch-diameter, lobed leaves do not ordinarily become showy in the fall, changing only to a muted yellow before dropping, but this will vary. The gray to reddish-brown, scaly bark flakes off in small scales to reveal the showy, orange, inner bark. The green, springtime flowers appear in three-to six-inch-long hanging panicles among the leaves in late spring and are followed by one-to two-inch-long, winged seeds.",NA,"Leaf arrangement","opposite/subopposite"
"256","Juglans nigra","Black walnut grows with a rounded crown to about 70 feet (can reach 100 to 150 feet in the woods) and spreads 60 to 80 feet when open grown. Best growth occurs in a sunny open location and a moist rich soil, common along stream banks in its native habitat. The tree grows rapidly when young but slows down with age and develops with a number of massive branches well spaced along the trunk forming a very strong, durable tree. While valued as a lumber tree it may not make the best yard tree. The nuts are edible but are a nuisance to clean up and leaves often fall prematurely from some type of leaf disease.",NA,"Leaf arrangement","alternate"
"257","Betula papyrifera","A native to northern areas that is grown for its beautiful white bark. An additional ornamental trait is the yellow fall leaf color. The tree is best adapted to wet and moist sites<U+0097>watch out for pests if grown in an unsuitable site. The tree will grow to 50 feet or more and spread about half that amount. Paper birch has excellent cold tolerance and will grow in USDA hardiness zone 2. It is rarely successful in zones warmer than USDA hardiness zone six. In landscapes it may be grown as a single-stemmed tree or in a multi-stemmed clump.",NA,"Leaf arrangement","alternate"
"258","Fagus sylvatica","Weeping Purple European Beech is more of a shrub than a tree, growing to about 10 feet tall.  Branches normally sweep up and away from the center of the tree forming a mound of foliage.  It is usually not trained to a central leader but could be trained this way to create a `standard' type tree.  The tree grows slowly, recovers slowly from transplanting and prefers a sunny location and a moist, light soil.  Though not a street tree, the tree makes a fine specimen for small landscapes.  It is somewhat tolerant of heat and dry soil, but it is best to locate it where it would receive adequate moisture.","Purpurea Pendula","Leaf arrangement","alternate"
"259","Grevillea robusta","Reaching a height of 75 feet or more with a 25-foot spread, silk oak is pyramidal to oval in shape, eventually developing a few heavy horizontal limbs and a thick trunk. The light, ferny, grey-green leaves, silvery beneath, are accented by large clusters of bright yellow-orange flowers in spring. A great quantity of leaves fall in the spring immediately preceding the emergence of new growth, and leaves also fall sporadically throughout the year, creating quite a litter problem to some people. Black, leathery seed capsules follow the flowers.",NA,"Leaf arrangement","alternate"
"260","Fagus sylvatica","Weeping European Beech grows into a wide, weeping mass of green foliage, 30 to 50 feet tall and spreads 30 to 50 feet.  Branches normally grow up, sag to the horizontal, then sweep toward the ground in a graceful fashion.  Young trees are often trained with a central leader for 10 feet or more into the crown, then the tree is allowed to weep to the ground.  This can produce a tree wider than tall, or if side branches are removed, one that is tall and narrow.  It grows slowly but is worth the wait.  Leaves show a lustrous dark green color throughout the summer and form a very dense canopy.  Some specimens have a narrow crown, others grow as wide as they are tall so allow plenty of room for growth.  Not a tree for residential or other small landscapes.  The branches are thin but not as flexible as those of weeping willow.",NA,"Leaf arrangement","alternate"
"261","Cedrus atlantica","A handsome evergreen with blue, bluish-green or light green foliage, 'Glauca' atlas cedar is perfect for specimen planting where it can grow without being crowded since the tree looks its best when branches are left on the tree to the ground. This shows off the wonderful irregular, open pyramidal form with lower branches spreading about half the height. It grows rapidly when young, then slowly, reaching 40 to 60 feet tall by 30 to 40 feet wide. The trunk stays fairly straight with lateral branches nearly horizontal. Allow plenty of room for these trees to spread. They are best located as a lawn specimen away from walks, streets, and sidewalks so branches will not have to be pruned. It looks odd if lower branches are removed. Older trees become flat-topped and are a beautiful sight to behold.",NA,"Leaf arrangement","spiral"
"262","Cedrus atlantica","This silver-blue foliaged cultivar is a handsome evergreen for specimen planting where it will not be crowded since the tree looks its best when branches are left on the tree to the ground. This shows off the wonderful pyramidal form with lower branches spreading about half the height. It reaches 40 to 60 or more feet tall and 30 to 40 feet wide. The trunk stays fairly straight with lateral branches nearly horizontal. Allow plenty of room for these to spread. They are best located as a lawn specimen away from walks, streets, and sidewalks so branches will not have to be pruned. The trees are much too large for most residential properties. It looks odd if lower branches are removed. Older trees become flat-topped and are a beautiful sight to behold.",NA,"Leaf arrangement","spiral"
"263","Cedrus atlantica","A handsome evergreen for specimen planting where it will not be crowded since the tree looks its best when branches are left on the tree to the ground. This shows off the wonderful weeping form with lower branches spreading about half the height. Spread, height and tree form is somewhat dependant on how the tree was trained. It can probably reach 30 to 40 feet tall if it was staked. Allow plenty of room for branches to spread. The tree is best located as a lawn specimen away from walks, streets, and sidewalks so branches will not have to be pruned. It looks odd if lower branches are removed. Older trees become flat-topped and are a beautiful sight to behold.",NA,"Leaf arrangement","spiral"
"264","Amelanchier canadensis","Downy serviceberry is an upright, twiggy, multi-stemmed large shrub, eventually reaching 20 to 25 feet in height with a spread of 15 to 20 feet. This North American native is usually the first to be noticed in the forest or garden at springtime, the pure white, glistening flowers some of the earliest to appear among the many other dull brown, leafless, and still-slumbering trees. The small white flowers are produced in dense, erect, two- to three-inch-long racemes, opening up to a delicate display before the attractive reddish-purple buds unfold into small, rounded leaves. These leaves are covered with a fine, soft grey fuzz when young, giving the plant its common name, but will mature into smooth, dark green leaves later. Following the blooms are many small, luscious, dark red/purple, sweet and juicy, apple-shaped fruits, often well hidden by the dark green leaves, and which would be popular with people were they not so quickly consumed by birds and other wildlife who seem to find their flavor irresistible.",NA,"Leaf arrangement","alternate"
"265","Acer palmatum","Japanese maple has a height and spread of about 20 feet, but there are much smaller selections available. The multiple trunks are muscular-looking, picturesque, grey, and show nicely when lit up at night. Japanese maple is grown for its green or red colored leaves, interesting growth habit and fine leaf texture. Fall color ranges from bright yellow through orange and red, and is often striking, even on trees grown in total shade. Growth habit varies widely depending on cultivar from globose, branching to the ground to upright, vase-shaped. The globose selections look best when they are allowed to branch to the ground. Be sure to clear all turf away from beneath the branches of these low growing types so the lawn mower will not damage the tree. The more upright selections make nice patio or small shade trees for residential lots, and, with pruning to remove drooping branches, provide adequate clearance for pedestrian traffic to pass close to the tree. More compact cultivars make wonderful accents for any landscape.",NA,"Leaf arrangement","opposite/subopposite"
"266","Carpinus betulus","The species is not normally grown, but it reaches 60 feet tall and spreads 40 feet, preferring well-drained soil. Cultivars are more common than the species. The cultivar 'Fastigiata' is most often offered by nurseries and is a popular street tree. The species tolerates a pH above 7.0. The plant grows slowly, is shallow rooted, and can branch low to the ground. The crown is finely branched, densely foliated, and forms a beautiful oval or vase in the landscape. European hornbeam has yellow fall color and enough pruning tolerance to be a hedge, tall screen, or topiary. It was and is the plant of choice for clipped screens and hedges in English and early American gardens.",NA,"Leaf arrangement","alternate"
"267","Oxydendrum arboreum","Sourwood usually grows as a pyramid or narrow oval with a more or less straight trunk at a height of 25 to 35 feet but can reach 50 to 60 feet tall with a spread of 25 to 30 feet.  Occasionally young specimens have a more open spreading habit reminiscent of Redbud.  Leaves are dark, lustrous green and appear to weep or hang from the twigs.  Branches droop toward the ground forming a graceful outline when planted as a single specimen.  The branching pattern and persistent fruit make the tree interesting in the winter.  The mid- to late-summer flowers are borne in terminal clusters of racemes which curve upward, creating a graceful effect at flowering time.  The fall color is a striking red and orange which is rivaled by only a few other trees such as Blackgum, Chinese Pistache, the pears, and Chinese Tallowtree.  There are few sights that are as striking as a row of Sourwood in fall color.",NA,"Leaf arrangement","alternate"
"268","Aralia spinosa","Anyone who has accidentally brushed against a devil's-walkingstick does not soon forget the experience, for this tall, spindly native shrub or small tree is armed up and down its thin trunk with extremely sharp, treacherous spines. Even the huge, much-divided leaves, which can reach four feet long and three feet wide, are armed with pointed prickles, ready to scratch anyone who comes within range. But when placed in an area where they can do no harm, devil's-walkingsticks add a tropical effect to a mixed shrubbery border or other naturalized setting, where the large leaves can easily spread out to their full length atop the slender, 10- to 15-foot-tall trunks. Under ideal conditions, these small trees can even reach 25 to 30 feet tall.",NA,"Leaf arrangement","alternate"
"269","Betula populifolia","A small, North American native tree, gray birch reaches 20- to 30-feet in height with a 10- to 20-foot spread, often forming loose, open thickets in the wild but easily trained to a single, slender trunk with an irregular, upright, pyramidal silhouette. The glossy, dark green leaves on reddish-brown twigs are triangular-shaped, 2.5- to 3.5-inches long, and turn a lovely yellow color in autumn before dropping. Both male and female catkins, or blooms, appear on the same tree, eventually producing a small cylindrical cone, with the male catkins persisting on the trees well into the winter. For the first four or five years, the bark of gray birch is dark brown but later takes on a smooth, chalky-white appearance but does not peel as readily as the bark of white birches.",NA,"Leaf arrangement","alternate"
"270","Chamaecyparis lawsoniana","Often seen at 40 to 60 feet tall by 15 feet wide in its cultivated form, this North American native can soar to heights of 100 to 150 feet in the wild. The massive, thick trunk and formal, upright, conical silhouette is softened by the gently weeping tips of the short, upright branches. The flattened, dark blue-green branchlets have a delicate, almost fern-like appearance, and are nicely complemented by the rough, deeply furrowed, reddish-brown bark. Available in a wide variety of forms and bluish foliage colors, Lawson falsecypress still remains today an important timber trees from the Pacific Northwest. But it is rare in the nursery trade and probably not well adapted to most landscapes.",NA,"Leaf arrangement","opposite/subopposite"
"271","Acer platanoides","'Crimson King' Norway maple grows to a height of 35 to 45 feet spreading about 25 to 30 feet and is quite popular for its purple-green foliage throughout the summer. Leaves turn brown, dark maroon or bronze in the fall before dropping. The oval to rounded crown fills with maroon-yellow flowers in the spring. 'Crimson King' Norway maple's dense shade and shallow root system compete with lawn grasses, and the shallow roots can make mowing under the tree difficult.","Crimson King","Leaf arrangement","opposite/subopposite"
"272","Acer platanoides","This cultivar of Norway maple has a height of about 50 to 60 feet, but only spreads to about 15 or 20 feet. The upright crown fills with greenish-yellow flowers in the spring. Lateral branches are short and grow almost horizontally, which is quite unusual for a columnar tree. Some suggest growing the tree with only one central trunk to avoid multiple-trunk crotches from splitting apart. Norway maple's shallow root system competes with lawn grasses, and the shallow roots can make mowing under the tree difficult. The shallow roots can heave sidewalks so be certain to locate the tree at least four to six feet away. The tree is easily transplanted, grows quickly, is adapted to a wide variety of soils (including alkaline), and has brilliant yellow fall color unmatched by most trees. It can also tolerate coastal conditions. The narrow crown makes this tree well suited to street tree plantings where vertical space is limited.","Columnare","Leaf arrangement","opposite/subopposite"
"273","Cedrus deodara","With its pyramidal shape, soft grayish-green (or blue) needles and drooping branches, this cedar makes a graceful specimen or accent tree. Growing rapidly to 40 to 50 feet tall and 20 to 30 feet wide, it also works well as a soft screen. The trunk stays fairly straight with lateral branches nearly horizontal and drooping. Lower branches should be left on the tree so the true form of the tree can show. Allow plenty of room for these to spread. They are best located as a lawn specimen away from walks, streets, and sidewalks so branches will not have to be pruned. Large specimens have trunks almost three feet in diameter and spread to 50 feet across.",NA,"Leaf arrangement","spiral"
"274","Cedrus deodara","With its pyramidal shape, soft silver-blue needles and drooping branches, this cedar makes a graceful specimen or accent tree. It has better cold hardiness than the species. Growing rapidly to 40 to 50 feet tall and 20 to 30 feet wide, it also works well as a soft screen. The trunk stays fairly straight with lateral branches nearly horizontal and drooping. Lower branches should be left on the tree so the true form of the tree can show. Allow plenty of room for these to spread. They are best located as a lawn specimen away from walks, streets, and sidewalks so branches will not have to be pruned. Large specimens have trunks almost three feet in diameter.","Kashmir","Leaf arrangement","spiral"
"275","Magnolia acuminata","One of the fastest-growing Magnolias, Cucumbertree is pyramidal when young but becomes broad, oval or rounded with age, ultimately reaching 60 to 80 feet in height with a spread of 35 to 60 feet.  Branches on open-grown trees eventually touch the ground if left unpruned, but when lower branches are removed the higher branches normally will not droop to touch the ground.  This provides good clearance beneath the tree for pedestrian traffic.  Older trees have a stately silhouette, particularly in the winter with branches bare, sporting a number of large-diameter branches growing from a dominant central trunk.  The trunk can grow to be five feet thick and the wood has been used, along with Tuliptree ( Liriodendron tulipifera ), for ""poorman's walnut.""",NA,"Leaf arrangement","alternate"
"276","Robinia pseudoacacia","A fast-growing deciduous tree, umbrella black locust grows to about 20 feet tall and wide. The weeping, round habit forms a canopy much denser than the species casting dense shade below the tree. The 6- to 14-inch-long, dark green leaves, made up of multiple leaflets, are some of the last to appear in spring and often drop early in the autumn. Flowers irregularly with only a flower 'here and there' in the crown. The 2- to 4-inch-long, dark red to black, leathery seeds pods which sometimes follow will persist on the trees throughout the winter.",NA,"Leaf arrangement","alternate"
"277","Magnolia acuminata","One of the fastest-growing Magnolias, Cucumbertree is pyramidal when young but becomes broad, oval or rounded with age, ultimately reaching 60 to 80 feet in height with a spread of 35 to 60 feet.  Branches on open-grown trees eventually touch the ground if left unpruned, but when lower branches are removed the higher branches normally will not droop to touch the ground.  This provides good clearance beneath the tree for pedestrian traffic.  Older trees have a stately silhouette, particularly in the winter with branches bare, sporting a number of large-diameter branches growing from a dominant central trunk.  The trunk can grow to be five feet thick and the wood has been used, along with Tuliptree ( Liriodendron tulipifera ), for ""poorman's walnut.""","Variegata","Leaf arrangement","alternate"
"278","Cladrastis kentukea","Yellowwood is so named because the freshly cut heartwood is a muted to brilliant yellow color, and the wood is known to yield a yellow dye. This seldom-used, native, deciduous tree makes a very striking specimen or shade tree, reaches 30 to 50 feet, rarely 75 feet in height, with a broad, rounded canopy and a vase-shaped, moderately dense silhouette. Smooth, grey to brown bark; bright green, pinnately compound, 8- to 12-inch-long leaflets; and a strikingly beautiful display of white, fragrant blossoms make yellowwood a wonderful choice for multiple landscape uses.",NA,"Leaf arrangement","alternate"
"279","Liquidambar styraciflua","`Rotundiloba' or Roundleaf Sweetgum grows to a height of about 75 feet and may spread to 50 feet.  The beautifully glossy, star-shaped leaves have rounded tips and turn deep purple in the fall (USDA hardiness zones 6 and 7) and early winter (USDA hardiness zones 8 and 9).  Branches are covered with characteristic corky projections.","Rotundiloba","Leaf arrangement","alternate"
"280","Prunus serrulata","Kwanzan Cherry has double-pink, very attractive flowers and is usually purchased and planted for this reason.  The upright-spreading form, reaching 15 to 25 feet tall, is quite attractive in many locations including near a patio or as a specimen away from lawn grass competition.  The tree is glorious in flower and has been planted along with Yoshino Cherry in Washington, D.C., for the annual Cherry Blossom Festival.  Kwanzan Cherry has good yellow fall color, does not bear fruit, but is troubled with pests.  It prefers full sun, is intolerant of poor drainage, and is easily transplanted.  However, useful life of the species is limited to about 15 to 25 years for `Kwanzan', on a good site.  But the tree is a joy during this short period and should be planted.",NA,"Leaf arrangement","alternate"
"281","Amelanchier arborea","Downy serviceberry grows 25 to 40 feet tall and can spread to 20 feet. This native large shrub or small tree has a moderate growth rate in most soils. Multiple stems are upright and highly branched forming a dense shrub with many small-diameter branches or, if properly pruned, a small tree. Trees can be trained, and are offered by nurseries, with one trunk. The main ornamental features are white flowers, followed by purple fruit in late spring or early summer. Fruits are produced before the leaves in spring and are quickly eaten by birds. Serviceberry puts on a brilliant fall color display ranging from yellow and orange to dull red. This tree is suitable for naturalistic plantings and will attract birds. The tree suckers from the base of the trunk, which can be a maintenance problem in urban plantings or in formal landscapes.",NA,"Leaf arrangement","alternate"
"282","Ilex opaca","A popular landscape plant since the beginning of American history, this broad-leafed evergreen has served a variety of uses through the years.  The American Indians used preserved Holly berries as decorative buttons and were much sought after by other tribes who bartered for them.  The wood has been used for making canes, scroll work and furniture, and has even been substituted for ebony in inlay work when stained black.","Slim Jim","Leaf arrangement","alternate"
"283","Acer saccharum","Sugar maple is the most common maple in the East and is a hard-wooded tree with a moderate to slow growth rate. The tree will be 60 to 80 feet tall at maturity in landscape plantings. Sugar maple grows about one foot each year in most soils but is sensitive to reflected heat, and to drought, turning the leaves brown (scorch) along their edges. Leaf scorch from dry soil is often evident in areas where the root system is restricted to a small soil area, such as a street tree planting. It is more drought-tolerant in open areas where the roots can proliferate into a large soil space.",NA,"Leaf arrangement","opposite/subopposite"
"284","Acer saccharum","This cultivar of augar maple grows rapidly to 50 feet tall at maturity in a landscape. It grows about one foot each year in most soils but is sensitive to reflected heat, and to drought, turning the leaves brown (scorch) along their edges. Despite some resistance, leaf scorch from dry soil is often evident in areas where the root system is restricted to a small soil area, such as a street tree planting. It is more drought-tolerant in open areas where the roots can proliferate into a large soil space.","Green Mountain","Leaf arrangement","opposite/subopposite"
"285","Quercus robur","'Fastigiata' or upright English oak is an upright, columnar, deciduous tree which eventually matures into a dense elongated oval shape with a short trunk and makes a striking landscape specimen. Growing moderately-fast to 50 to 60 feet high and only 10 to 18 feet wide, upright English oak was first discovered growing wild in a forest in Germany and was propagated by grafting in 1783. The 2.5- to 5-inch-long by 1- to 2.5-inch-wide leaves maintain their dark green color throughout the year until they turn brown in autumn. They often remain on the tree for some time before dropping. The attractive, dark brown bark is deeply ridged and furrowed, and the one-inch acorns persist on the tree throughout the winter.","Fastigiata","Leaf arrangement","alternate"
"286","Acer saccharum","This cultivar of sugar maple grows at a slow to moderate rate to about 50 or 60 feet at maturity. The crown stays tight with only a 15 foot spread. It will grow about one foot or less each year in most soils but sensitive to reflected heat, and to drought, turning the leaves brown (scorch) along their edges. Leaf scorch from dry soil is often evident in areas where the root system is restricted to a small soil area, such as a street tree planting. It is more drought-tolerant in open areas where the roots can proliferate into a large soil space.","Temple's Upright","Leaf arrangement","opposite/subopposite"
"287","Acer saccharum","This cultivar of sugar maple is a hard-wooded tree with a moderate growth rate probably growing to 50 feet tall. The crown is very narrow (10 feet) and uniform, making the tree well suited for tight spaces. 'Endowment' sugar maple grows about one foot each year in most soils; it is reportedly less sensitive to reflected heat, and to drought, and scorches less than the species. Nevertheless, trees planted in dry soil often are stressed in areas where the root system is restricted to a small soil area, such as a street tree planting. It is more drought-tolerant in open areas where the roots can proliferate into a large soil space.","Endowment","Leaf arrangement","opposite/subopposite"
"288","Acer saccharum","This cultivar of sugar maple is a narrow-crowned, columnar-shaped tree with a slow growth rate. The tree will be about 40 feet tall and 10 to 15 feet wide at maturity in a landscape. It grows about one foot each year in most soils and is resistant to reflected heat, and to drought, and does not generally leaf scorch as the species does. Some leaf scorch may be evident on dry sites where the root system is restricted to a small soil area, such as a street tree planting. It is more drought-tolerant in open areas where the roots can grow into a large soil space.","Goldspire","Leaf arrangement","opposite/subopposite"
"289","Quercus robur","A stately and very unique oak that will reach a height and spread of 50 to 60 feet, English oak is hardy in USDA hardiness zone 5 and will tolerate a range of soil pH and moisture conditions, including occasionally wet soil and dry clay. The crown often appears open with large branches dominating the round crown. It is low branching and pyramidal (when young) with a short, grey trunk. The main trunk is normally straight up or slightly bent up through the center of the crown. Branches develop nicely and the tree typically requires little if any pruning to create good form and strong structure. An under-utilized street and shade tree in drier climates.",NA,"Leaf arrangement","alternate"
"290","Fraxinus americana","`Autumn Applause' White Ash is a male tree introduced in 1975, growing 40 to 50 feet tall and perhaps 25 to 30 feet wide, and is a cultivar of the species which is native to moist locations.  The tree grows rapidly and is almost pyramidal with a round top when young, but gradually slows down and develops an oval shape.  `Autumn Applause' White Ash prefers a sunny exposure where it will develop its consistently-outstanding deep red, maroon or purple fall color, whereas the species develops yellow or no fall color.  Fall color often comes earlier than on other trees.  It has one of the most stunning displays of fall color.","Autumn Applause","Leaf arrangement","opposite/subopposite"
"291","Fraxinus americana","`Autumn Purple' White Ash is a male tree introduced in 1956, growing 40 to 50 feet tall and perhaps 35 to 50 feet wide, and is a cultivar of the species which is native to moist locations.  The tree grows rapidly and is almost pyramidal with a round top when young, but gradually slows down and develops an oval shape.  `Autumn Purple' White Ash prefers a sunny exposure where it will develop its consistently-outstanding deep red, maroon or purple fall color, whereas the species develops yellow or no fall color.  Fall color often comes earlier than on other trees.  I can not think of another tree with better, long-lasting fall color.","Autumn Purple","Leaf arrangement","opposite/subopposite"
"292","Fraxinus americana","White Ash is resistant to heat, although it is native to moist locations, including river bottoms and well-drained upland sites.  It grows 50 to 80 feet tall and wide.  The trees produce a good seed-set every two to three years and they germinate in the landscape creating a nuisance and perhaps look a bit messy.  The seeds are used by many birds and can be produced in countless numbers.  The tree grows rapidly and is almost pyramidal when young, but gradually slows down and develops a more spreading round or oval shape.  White Ash prefers a sunny exposure where it develops a showy yellow fall color.  Fall color can be striking or dull, depending on the tree and environmental conditions.",NA,"Leaf arrangement","opposite/subopposite"
"293","Cercis canadensis","Texas redbud is a deciduous tree, native to southwestern North America including Texas, reaches 30 to 40 feet in height with a 15- to 20-foot width, and grows slowly into a rounded or vase shape. It and the Mexican redbud are the best-suited redbuds for the western and central Texas and Oklahoma areas of the country. Young trees are a bit irregularly shaped and benefit from some training and pruning to form an upright, more uniform crown. The incredibly shiny, thick, leathery, dark green leaves have rounded or notched tips, are two to three inches wide, and turn yellow before dropping in the fall. The pink flowers appear in profusion up and down the tree limbs in springtime, well before the leaves begin to emerge. The four-inch-long seedpods that follow are a lovely purple color and remain on the tree well into the winter.",NA,"Leaf arrangement","alternate"
"294","Ginkgo biloba","This male cultivar of Ginkgo is practically pest-free, resistant to storm damage, and casts light shade due to the narrow crown.  It has a dense, fat columnar form growing to about 65 feet tall with a 15 to 20-foot-wide crown.  It makes a durable street tree where there is limited vertical overhead space.  Other narrow upright cultivars include `Fairmont' and `Fastigiata'.  Ginkgo tolerates most soil, including compacted, and alkaline.  The tree is easily transplanted and has a vivid yellow fall color which is second to none in brilliance, even in the south.  However, leaves fall quickly and the fall color show is short.","Princeton Sentry","Leaf arrangement","alternate"
"295","Koelreuteria paniculata","This cultivar of goldenrain tree probably grows 30 feet tall with a four- to six-foot spread. Although the species has a reputation for being weak wooded, this selection may stay together due to the tight, compact growth habit. It is rarely attacked by pests and grows in a wide range of soils, including high pH soils. Goldenrain tree tolerates dryness and casts little shade because of the narrow growth habit. It would make a good tree particularly where overhead or soil space is limited, due to its narrow crown and adaptive abilities. The tree grows moderately and bears few flowers. It is not as showy as Koelreuteria bipinnata but is much more cold-tolerant. However, it is less cold tolerant than the species.","Fastigiata","Leaf arrangement","alternate"
"296","Washingtonia filifera","Commonly seen at 40 to 50 feet but capable of soaring to 80 feet in height, Desert Fan Palm is quickly recognized as related to the much-overused, straight, single-trunked street palm of years past,  Washingtonia robusta .  However, Desert Fan Palm is better suited to the home landscape since it grows more slowly and is shorter.  This also allows it to be used in more garden applications, such as containers or grouped together as a mass planting.  It does not grow well when it is over-irrigated in Florida because it frequently develops trunk or root rot.",NA,"Leaf arrangement","alternate"
"297","Ficus benjamina","This is a huge tree growing to 60 feet tall and 60 to 70 feet wide.  The dense, rounded canopy and gracefully drooping branches of Weeping Fig made it quite popular as a landscape tree until recently.  The thick, shiny, two to five-inch-long, evergreen leaves generously clothe the long branches, and the tiny figs eventually turn a deep red.  Branches will weep toward the ground forming a canopy so dense that nothing grows beneath it.",NA,"Leaf arrangement","alternate"
"298","Liquidambar styraciflua","This cultivar of Sweetgum grows in a narrow pyramid to a height of 75 feet and may spread to 50 feet.  The beautifully glossy, star-shaped leaves turn bright red-purple in the fall (USDA hardiness zones 6 and 7) and early winter (USDA hardiness zones 8 and 9).  In the fall, leaves are held on the tree longer than the species.  It is well adapted to the Deep South.  On some trees, particularly in the northern part of its range, branches are covered with characteristic corky projections.  The trunk is normally straight and does not divide into double or multiple leaders and side branches are small in diameter on young trees, creating a pyramidal form.  The bark becomes deeply ridged at about 25-years-old.  Sweetgum makes a nice conical park, campus or residential shade tree for large properties when it is young, developing a more oval or rounded canopy as it grows older as several branches become dominant and grow in diameter.","Burgundy","Leaf arrangement","alternate"
"299","Liquidambar styraciflua","This cultivar of Sweetgum grows in a narrow pyramid to a height of probably 60 feet but supposedly spreads only to about 20 feet.  The beautifully glossy, star-shaped leaves turn bright red, purple, yellow or orange in the fall (USDA hardiness zones 6 and 7) and early winter (USDA hardiness zones 8 and 9).  On some trees, particularly in the northern part of its range, branches are covered with characteristic corky projections.  The trunk is normally straight and does not divide into double or multiple leaders and side branches are small in diameter on young trees, creating a pyramidal form.  The bark becomes deeply ridged at about 25-years-old.  `Festival' Sweetgum makes a nice conical park, campus or residential shade tree for large properties when it is young, developing a more upright oval canopy as it grows older.","Festival","Leaf arrangement","alternate"
